solarradiation,humidity,month,hour,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",holiday,Domingo,Quarta,Quinta,Segunda,Sexta,Sábado,Terça,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo,Total Consumption (Portugal),Portugal,Active Energy (MWh) - Porto
0.0,93.7,11,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,199.46569323433656,730.2775736822176,0.0,265.1419355393502,0.0,1733.4953751255312,232.48658686079054,0.0,15.698124706795168,658.9963088428243,0.0,470.2938835187096,0.0,0.0,16527.7,16527.7,127.66,3199.353426205056
0.0,100.0,11,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,192.8858841722387,511.92539147334105,0.0,265.7714851718349,0.0,1776.5484467664182,232.79120765070246,0.0,15.718432759455965,419.13789886616496,0.0,37.427741053846695,0.0,0.0,16595.1,16595.1,124.52,3215.5524889667117
0.0,100.0,11,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,262.9892819573059,461.398956453281,0.0,260.51169953268874,0.0,1866.7162005803518,238.86331539628043,0.0,16.043361602028696,352.08070898021714,0.0,0.0,0.0,0.0,16996.3,16996.3,115.99,3301.6712921496146
0.0,93.65,11,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,959.9007251178359,446.9396229587944,0.04061610532159164,261.4661780077462,0.0,1980.1163666382356,256.18608431593924,0.0,15.413811969544028,0.0,80.31834827344747,0.12184831596477491,0.0,0.0,18872.3,18872.3,144.92,3712.8136928563686
0.0,94.67,11,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1826.2016355220642,474.0711813136176,10.885116226186557,260.3695431640632,0.0,2029.018157445432,282.2006997744187,0.0,16.165209917993472,0.0,577.0127002511916,0.42646910587671216,0.0,0.0,21267.2,21267.2,140.93,4377.6787381529375
9.7,100.0,11,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1645.4193507356597,514.2202014240111,77.45491284827526,256.5719373164944,0.0,2090.9171019555374,300.1327102739014,0.0,16.32767433927984,78.1860027440639,0.0,0.0,0.0,0.0,24504.9,24504.9,155.48,5133.623826294865
89.6,98.49,11,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1558.6227336634183,535.401500349221,186.00145432022893,256.2673165265825,0.0,2142.824484556532,300.37640690583095,0.0,15.39350391688323,248.40810014685448,0.0,0.0,0.0,0.0,25805.4,25805.4,170.0,5427.915931691861
192.2,88.86,11,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1093.4058633099078,650.6293911465765,301.6355061708003,258.60274258257397,0.0,1956.1528644984965,300.27486664252694,0.0,14.784262337059356,713.6655866056866,0.0,0.0,0.0,0.0,26027.6,26027.6,172.77,5491.907544483042
288.9,87.0,11,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,903.2412581942157,790.9580350326756,378.72487407118126,257.34364331760463,0.0,1913.9933471746842,277.52984766243566,0.0,15.271655600918457,1036.4011594910537,0.0,168.88176592717804,0.0,0.0,26585.0,26585.0,159.81,5607.823366377465
310.5,82.33,11,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,676.2581536045008,1050.0481708791087,332.21943347795883,247.29115725051065,0.0,1807.1729901788983,254.84575284032675,0.0,9.930637751129156,1161.031678670358,0.0,182.79278199982318,0.0,0.0,26334.1,26334.1,150.17,5536.167352719747
